"","biosample_id","organism","subspecies","strain","host","host_taxid","isolation_source","env_local_scale","collected_by","geo_loc_name","collection_date","first_public","lat_lon","year","type","public.year"
"NZ_CP025275.1","SAMN02716893","Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1923",NA,"USDA-ARS-USMARC-1923","Bovine",NA,"bovine hide",NA,"USMARC","USA: BIFSCo Region 5","2005-07",NA,NA,2005,"plasmid",NA
"NZ_CP025231.1","SAMN02716894","Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1924",NA,"USDA-ARS-USMARC-1924","Bovine",NA,"bovine hide",NA,"USMARC","USA: BIFSCo Region 2","2005-07",NA,NA,2005,"plasmid",NA
"NZ_CP025233.1","SAMN02716895","Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1925",NA,"USDA-ARS-USMARC-1925","Bovine",NA,"bovine hide",NA,"USMARC","USA: BIFSCo Region 2","2006-01",NA,NA,2006,"plasmid",NA
"NZ_CP025236.1","SAMN02716896","Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1926",NA,"USDA-ARS-USMARC-1926","Bovine",NA,"bovine pre-evisceration carcass",NA,"USMARC","USA: BIFSCo Region 2","2006-01",NA,NA,2006,"plasmid",NA
"NZ_CP025240.1","SAMN02716897","Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1928",NA,"USDA-ARS-USMARC-1928","Bovine",NA,"bovine peripheral lymph node",NA,"USMARC","USA: BIFSCo Region 2","2011-07",NA,NA,2011,"plasmid",NA
"NZ_CP025245.1","SAMN02716905","Salmonella enterica subsp. enterica serovar Newport str. CDC 2012K-0663",NA,"CDC 2012K-0663","Homo sapiens",NA,"stool",NA,"CDC","USA: BIFSCo Region 2","2012",NA,NA,2012,"plasmid",NA
"NZ_CP009771.1","SAMN02720898","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH33",NA,NA,"unknown",NA,NA,"USA","2013",NA,NA,2013,"chromosome",NA
"NZ_CP009773.1","SAMN02720898","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH33",NA,NA,"unknown",NA,NA,"USA","2013",NA,NA,2013,"plasmid",NA
"NZ_CP007566.1","SAMN02726090","Aeromonas hydrophila subsp. hydrophila AL09-71",NA,"AL09-71",NA,NA,NA,"fish pond","B. Hemstreet","USA:Alabama","2009-08-04",NA,"32.77 N 88.04 W",2009,"chromosome",NA
"NZ_CP007576.1","SAMN02728499","Aeromonas hydrophila pc104A",NA,"PC-104A",NA,NA,NA,"catfish pond","Julo Garcia and Julie Bebak","USA: Alabama","2010",NA,"32.77 N 88.04 W",2010,"chromosome",NA
"NZ_CP010555.1","SAMN02732380","Pseudomonas aeruginosa",NA,"FRD1","Homo sapiens",NA,NA,"the sputum of a cystic fibrosis patient","Dr. Barbara Iglewski","USA: Oregon","1979",NA,"45.52 N 122.64 W",1979,"chromosome",NA
"NZ_CP008749.1","SAMN02740985","Pseudomonas aeruginosa PAO1H2O",NA,"PAO1H2O",NA,NA,"water",NA,NA,"USA: Bluefield, West Virginia","2011-10-01",NA,NA,2011,"chromosome",NA
"NZ_CP007636.1","SAMN02741837","Vibrio cholerae",NA,NA,"Homo sapiens",NA,"missing",NA,"Laboratoire National de Sante Publique (LNSP)","Haiti","2012",NA,"missing",2012,"plasmid",NA
"NZ_CP007179.1","SAMN02743854","Campylobacter coli RM5611",NA,"RM5611","bovine",NA,"missing",NA,"Sophia Kathariou","missing","missing",NA,"missing",NA,"chromosome",NA
"NZ_CP007181.1","SAMN02743855","Campylobacter coli RM4661",NA,"RM4661","turkey",NA,"missing",NA,"Irene Wesley","missing","missing",NA,"missing",NA,"chromosome",NA
"NZ_CP007183.1","SAMN02743856","Campylobacter coli RM1875",NA,"RM1875","swine",NA,"missing",NA,"missing","missing","missing",NA,"missing",NA,"chromosome",NA
"NZ_CP009484.1","SAMN02768252","Burkholderia pseudomallei MSHR491",NA,"MSHR491",NA,NA,"community water supply storage tank",NA,NA,"Australia: Northern Territory","1997",NA,NA,1997,"chromosome",NA
"NZ_CP030070.1","SAMN02768808","Klebsiella pneumoniae",NA,"IA565","Homo sapiens",NA,"urine",NA,NA,"USA: University of Iowa Hospitals and Clinics Iowa City, IA","1981-04-29",NA,NA,1981,"chromosome",NA
"NZ_CP009114.1","SAMN02777842","Klebsiella pneumoniae",NA,"carbapenem-resistant blaNDM-1","Homo sapiens",NA,"clinical urine culture",NA,"Julie Segre","USA: HHS Region 5","2012",NA,"41.00 N 81.00 W",2012,"chromosome",NA
"NZ_CP009115.1","SAMN02777842","Klebsiella pneumoniae",NA,"carbapenem-resistant blaNDM-1","Homo sapiens",NA,"clinical urine culture",NA,"Julie Segre","USA: HHS Region 5","2012",NA,"41.00 N 81.00 W",2012,"plasmid",NA
"NZ_CP009116.1","SAMN02777842","Klebsiella pneumoniae",NA,"carbapenem-resistant blaNDM-1","Homo sapiens",NA,"clinical urine culture",NA,"Julie Segre","USA: HHS Region 5","2012",NA,"41.00 N 81.00 W",2012,"plasmid",NA
"NZ_CP008791.1","SAMN02786843","Klebsiella oxytoca KONIH1",NA,"KONIH1",NA,NA,"perirectal swab",NA,NA,"USA","2012",NA,NA,2012,"plasmid",NA
"NZ_CP008797.1","SAMN02786855","Klebsiella pneumoniae subsp. pneumoniae KPNIH24",NA,"KPNIH24",NA,NA,"throat/groin",NA,NA,"USA","2012",NA,NA,2012,"chromosome",NA
"NZ_CP008798.1","SAMN02786855","Klebsiella pneumoniae subsp. pneumoniae KPNIH24",NA,"KPNIH24",NA,NA,"throat/groin",NA,NA,"USA","2012",NA,NA,2012,"plasmid",NA
"NZ_CP008831.1","SAMN02786856","Klebsiella pneumoniae subsp. pneumoniae KPR0928",NA,"KPR0928","Homo sapiens",NA,"sputum",NA,NA,"USA","2012",NA,NA,2012,"chromosome",NA
"NZ_CP008833.1","SAMN02786856","Klebsiella pneumoniae subsp. pneumoniae KPR0928",NA,"KPR0928","Homo sapiens",NA,"sputum",NA,NA,"USA","2012",NA,NA,2012,"plasmid",NA
"NZ_CP008697.1","SAMN02800875","Escherichia coli",NA,"ST648","Homo sapiens",NA,"Pleural Effusion",NA,"Dezhi Li","China:Beijing","2009-05-24",NA,"39.93 N 116.35 E",2009,"chromosome",NA
"NZ_CP008715.1","SAMN02800875","Escherichia coli",NA,"ST648","Homo sapiens",NA,"Pleural Effusion",NA,"Dezhi Li","China:Beijing","2009-05-24",NA,"39.93 N 116.35 E",2009,"plasmid",NA
"NZ_CP009863.1","SAMN02803823","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH29",NA,NA,"perirectal swab",NA,NA,"USA","2013",NA,NA,2013,"chromosome",NA
"NZ_CP009864.1","SAMN02803823","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH29",NA,NA,"perirectal swab",NA,NA,"USA","2013",NA,NA,2013,"plasmid",NA
"NZ_JNGV01000056.1","SAMN02803978","Klebsiella pneumoniae subsp. pneumoniae",NA,"NUFHKp","Homo sapiens",NA,"patient blood",NA,"Yang Liu","China: NanChang, JiangXi","2011-04-08",NA,"28.68 N 115.89 E",2011,"plasmid",NA
"NZ_CP009872.1","SAMN02820977","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH30",NA,NA,"perirectal swab",NA,NA,"USA","2013",NA,NA,2013,"chromosome",NA
"NZ_CP009875.1","SAMN02820977","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH30",NA,NA,"perirectal swab",NA,NA,"USA","2013",NA,NA,2013,"plasmid",NA
"NZ_CP009876.1","SAMN02820980","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH31",NA,NA,"urine",NA,NA,"USA","2013",NA,NA,2013,"chromosome",NA
"NZ_CP009879.1","SAMN02820980","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH31",NA,NA,"urine",NA,NA,"USA","2013",NA,NA,2013,"plasmid",NA
"NZ_CP009775.1","SAMN02820981","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH32",NA,NA,"perirectal swab",NA,NA,"USA","2013",NA,NA,2013,"chromosome",NA
"NZ_CP009776.1","SAMN02820981","Klebsiella pneumoniae subsp. pneumoniae",NA,"KPNIH32",NA,NA,"perirectal swab",NA,NA,"USA","2013",NA,NA,2013,"plasmid",NA
"NZ_CP009852.1","SAMN02821150","Enterobacter cloacae",NA,"ECNIH4",NA,NA,"sink drain",NA,NA,"USA","2012",NA,NA,2012,"plasmid",NA
"NZ_CP009853.1","SAMN02821150","Enterobacter cloacae",NA,"ECNIH4",NA,NA,"sink drain",NA,NA,"USA","2012",NA,NA,2012,"plasmid",NA
"NZ_CP009857.1","SAMN02821151","Enterobacter cloacae",NA,"ECNIH5",NA,NA,"sink drain",NA,NA,"USA","2011",NA,NA,2011,"plasmid",NA
"NZ_CP009858.1","SAMN02821151","Enterobacter cloacae",NA,"ECNIH5",NA,NA,"sink drain",NA,NA,"USA","2011",NA,NA,2011,"plasmid",NA
"NZ_CP009586.1","SAMN02849693","Burkholderia pseudomallei",NA,"PHLS 112",NA,NA,"unknown",NA,NA,"Thailand","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP009898.1","SAMN02849712","Burkholderia pseudomallei Pasteur 52237",NA,"Pasteur 52237",NA,NA,"unknown",NA,NA,"Viet Nam","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008754.1","SAMN02864945","Burkholderia pseudomallei",NA,"BEK",NA,NA,"unknown",NA,NA,"Pakistan","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008759.1","SAMN02864954","Burkholderia pseudomallei",NA,"1106a",NA,NA,"liver",NA,NA,"Thailand: Ubon Ratchathani","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008787.1","SAMN02864993","Campylobacter jejuni subsp. jejuni",NA,"MTVDSCj20","Gallus gallus",NA,NA,"Chicken",NA,"USA: Michigan","2013-10",NA,"42.338104 N 83.889470 W",2013,"chromosome",NA
"NZ_CP008778.1","SAMN02866333","Burkholderia pseudomallei 576",NA,"576",NA,NA,"unknown",NA,NA,"Thailand","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008779.1","SAMN02866334","Burkholderia pseudomallei",NA,"MSHR1655",NA,NA,"unknown",NA,NA,"unknown","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008763.1","SAMN02866335","Burkholderia pseudomallei",NA,"MSHR346",NA,NA,"unknown",NA,NA,"unknown","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008782.1","SAMN02866341","Burkholderia pseudomallei",NA,"Mahidol-1106a",NA,NA,"unknown",NA,NA,"Thailand","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008835.1","SAMN02866376","Burkholderia pseudomallei",NA,"BGR",NA,NA,"unknown",NA,NA,"Thailand","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008783.1","SAMN02866394","Burkholderia pseudomallei MSHR5855",NA,"MSHR5855","Homo sapiens",NA,"sputum",NA,NA,"Australia","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP008929.1","SAMN02885365","Klebsiella pneumoniae",NA,"PMK1","Homo sapiens",NA,"blood",NA,"PED Study Team","Nepal","2011-08-16",NA,"27.40 N 85.19 E",2011,"chromosome",NA
"NZ_CP008933.1","SAMN02885365","Klebsiella pneumoniae",NA,"PMK1","Homo sapiens",NA,"blood",NA,"PED Study Team","Nepal","2011-08-16",NA,"27.40 N 85.19 E",2011,"plasmid",NA
"NZ_CP026680.1","SAMN02887043","Pseudomonas aeruginosa",NA,"F5677","Homo sapiens",NA,"urine",NA,"Memorial Hospital","USA: New York","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP036550.1","SAMN02892979","Bacteroides fragilis",NA,"DCMOUH0042B","Homo sapiens",NA,"blood",NA,"Ulrik Stenz Justesen","Denmark: Odense","2008",NA,"55.3958 N 10.3886 E",2008,"chromosome",NA
"NZ_CP008872.2","SAMN02894342","Pseudomonas aeruginosa",NA,"X78812","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008864.2","SAMN02894343","Pseudomonas aeruginosa",NA,"W60856","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008871.2","SAMN02894344","Pseudomonas aeruginosa",NA,"W45909","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008870.2","SAMN02894345","Pseudomonas aeruginosa",NA,"W36662","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008869.2","SAMN02894346","Pseudomonas aeruginosa",NA,"W16407","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008868.1","SAMN02894347","Pseudomonas aeruginosa",NA,"T63266","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008867.1","SAMN02894348","Pseudomonas aeruginosa",NA,"T52373","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008866.2","SAMN02894349","Pseudomonas aeruginosa",NA,"T38079","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008865.2","SAMN02894350","Pseudomonas aeruginosa",NA,"S86968","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008863.1","SAMN02894351","Pseudomonas aeruginosa",NA,"M37351","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008862.2","SAMN02894352","Pseudomonas aeruginosa",NA,"M1608","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008861.1","SAMN02894353","Pseudomonas aeruginosa",NA,"H47921","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008860.2","SAMN02894354","Pseudomonas aeruginosa",NA,"H27930","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008859.2","SAMN02894355","Pseudomonas aeruginosa",NA,"H5708","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008858.2","SAMN02894356","Pseudomonas aeruginosa",NA,"F63912","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008857.1","SAMN02894357","Pseudomonas aeruginosa",NA,"F30658","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008856.2","SAMN02894358","Pseudomonas aeruginosa",NA,"F23197","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008873.1","SAMN02894359","Pseudomonas aeruginosa",NA,"F9670","Homo sapiens",NA,"missing",NA,"Memorial Hospital","USA: New York, NY","2012",NA,"40.77 N 73.96 W",2012,"chromosome",NA
"NZ_CP008706.1","SAMN02894434","Acinetobacter baumannii",NA,"AB5075-UW","Homo sapiens",NA,"tibia/osteomyelitis of diabetes patient",NA,"Dan Zurawski, WRAIR","USA: Walter Reed Army Medical Center","2008",NA,"38.976556 N 77.02875 W",2008,"chromosome",NA
"NZ_CP008707.1","SAMN02894434","Acinetobacter baumannii",NA,"AB5075-UW","Homo sapiens",NA,"tibia/osteomyelitis of diabetes patient",NA,"Dan Zurawski, WRAIR","USA: Walter Reed Army Medical Center","2008",NA,"38.976556 N 77.02875 W",2008,"plasmid",NA
"NZ_JPGS01000027.1","SAMN02900562","Klebsiella pneumoniae",NA,"MRSN6920","Homo sapiens",NA,"wound",NA,"unknown","USA","2012-02-16",NA,"unknown",2012,"plasmid",NA
"NZ_JPGS01000085.1","SAMN02900562","Klebsiella pneumoniae",NA,"MRSN6920","Homo sapiens",NA,"wound",NA,"unknown","USA","2012-02-16",NA,"unknown",2012,"plasmid",NA
"NZ_JPGS01000086.1","SAMN02900562","Klebsiella pneumoniae",NA,"MRSN6920","Homo sapiens",NA,"wound",NA,"unknown","USA","2012-02-16",NA,"unknown",2012,"plasmid",NA
"NZ_JPGS01000096.1","SAMN02900562","Klebsiella pneumoniae",NA,"MRSN6920","Homo sapiens",NA,"wound",NA,"unknown","USA","2012-02-16",NA,"unknown",2012,"plasmid",NA
"NZ_JPGS01000152.1","SAMN02900562","Klebsiella pneumoniae",NA,"MRSN6920","Homo sapiens",NA,"wound",NA,"unknown","USA","2012-02-16",NA,"unknown",2012,"plasmid",NA
"NZ_JPGT01000031.1","SAMN02900563","Klebsiella pneumoniae",NA,"MRSN8157","Homo sapiens",NA,"Bronchoscopy",NA,"unknown","USA","2012-03-07",NA,"unknown",2012,"plasmid",NA
"NZ_JPGT01000093.1","SAMN02900563","Klebsiella pneumoniae",NA,"MRSN8157","Homo sapiens",NA,"Bronchoscopy",NA,"unknown","USA","2012-03-07",NA,"unknown",2012,"plasmid",NA
"NZ_JPGT01000094.1","SAMN02900563","Klebsiella pneumoniae",NA,"MRSN8157","Homo sapiens",NA,"Bronchoscopy",NA,"unknown","USA","2012-03-07",NA,"unknown",2012,"plasmid",NA
"NZ_JPGT01000107.1","SAMN02900563","Klebsiella pneumoniae",NA,"MRSN8157","Homo sapiens",NA,"Bronchoscopy",NA,"unknown","USA","2012-03-07",NA,"unknown",2012,"plasmid",NA
"NZ_JPGT01000155.1","SAMN02900563","Klebsiella pneumoniae",NA,"MRSN8157","Homo sapiens",NA,"Bronchoscopy",NA,"unknown","USA","2012-03-07",NA,"unknown",2012,"plasmid",NA
"NZ_CP008910.1","SAMN02902465","Burkholderia pseudomallei MSHR5848",NA,"MSHR5848","Homo sapiens",NA,"sputum",NA,NA,"Australia","2011-01-01",NA,NA,2011,"chromosome",NA
"NZ_CP008891.1","SAMN02902606","Burkholderia pseudomallei MSHR5858",NA,"MSHR5858","Homo sapiens",NA,"sputum",NA,NA,"Australia","2011-01-01",NA,NA,2011,"chromosome",NA
"NZ_CP008912.1","SAMN02902608","Burkholderia pseudomallei HBPUB10134a",NA,"HBPUB10134a",NA,NA,"Tracheal suction",NA,NA,"unknown","2010-09-12",NA,NA,2010,"chromosome",NA
"NZ_CP008893.1","SAMN02902612","Burkholderia pseudomallei HBPUB10303a",NA,"HBPUB10303a",NA,NA,"tracheal suction",NA,NA,"unknown","2011-01-05",NA,NA,2011,"chromosome",NA
"NZ_CP008917.1","SAMN02902623","Burkholderia pseudomallei",NA,"BGK",NA,NA,"unknown",NA,NA,"unknown","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP009053.1","SAMN02928551","Escherichia coli NCCP15648",NA,"NCCP15648",NA,NA,"stool",NA,NA,"South Korea","2001",NA,NA,2001,"plasmid",NA
"NZ_CP026053.1","SAMN02934521","Salmonella enterica",NA,"FDAARGOS_70","Homo sapiens",NA,"abscess",NA,"Children's National Hospital","USA","2013-07-26",NA,"Not Applicable",2013,"plasmid",NA
"NZ_CP026055.1","SAMN02934523","Aeromonas caviae",NA,"FDAARGOS_72","Homo sapiens",NA,"stool",NA,"Children's National Hospital","USA","2013-09-16",NA,"Not Applicable",2013,"chromosome",NA
"NZ_CP026056.1","SAMN02934525","Citrobacter freundii",NA,"FDAARGOS_73","Homo sapiens",NA,"lung tissue grind",NA,"Children's National Hospital","USA","2013-09-27",NA,"Not Applicable",2013,"chromosome",NA
"NZ_CP031509.1","SAMN02934542","Providencia stuartii",NA,"FDAARGOS_87","Homo sapiens",NA,"endotracheal aspirate",NA,"Children's National Hospital","USA","2013-11-18",NA,"Not Applicable",2013,"plasmid",NA
"NZ_CP009257.1","SAMN02940899","Acinetobacter baumannii",NA,"AB30","Homo sapiens",NA,"hospital",NA,"A. Kumar","Canada: Winnipeg","2010-01-01",NA,"50.00 N 98.00 W",2010,"chromosome",NA
"NZ_CP009256.1","SAMN02940901","Acinetobacter baumannii",NA,"AB31","Homo sapiens",NA,"hospital",NA,"A. Kumar","Canada:Toronto","2010-01-01",NA,"43.7 N 79.4 W",2010,"chromosome",NA
"NZ_CP009210.1","SAMN02945025","Burkholderia pseudomallei",NA,"BDP","Homo sapiens",NA,"brain",NA,NA,"Australia: Darwin, Northern Territory","1994-04-29",NA,NA,1994,"chromosome",NA
"NZ_CP009127.1","SAMN02945026","Burkholderia pseudomallei",NA,"BSR",NA,NA,"unknown",NA,NA,"unknown","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP021380.2","SAMN02947975","Pseudomonas aeruginosa",NA,"CCBH4851","Homo sapiens",NA,"catheter tip",NA,"Goiais","Brazil","2008-12-10",NA,"16.6786 S 49.2539 W",2008,"chromosome",NA
"NZ_CP009160.1","SAMN02951644","Burkholderia pseudomallei TSV 48",NA,"TSV 48",NA,NA,"environmental sample",NA,NA,"Australia","unknown",NA,"19.2564694 S 146.7898111 E",NA,"chromosome",NA
"NZ_CP009163.1","SAMN02951646","Burkholderia pseudomallei K42",NA,"K42",NA,NA,"environmental sample",NA,NA,"Papua New Guinea: record deposited as Australia","unknown",NA,"8.0577000 S 143.0036833 E",NA,"chromosome",NA
"NZ_CP009156.1","SAMN02951647","Burkholderia pseudomallei",NA,"TSV202",NA,NA,"environmental sample",NA,NA,"Australia","unknown",NA,"19.2806167 S 147.0308833 E",NA,"chromosome",NA
"NZ_CP009150.1","SAMN02951654","Burkholderia pseudomallei B03",NA,"B03",NA,NA,"environmental sample",NA,NA,"Papua New Guinea: record deposited as Australia","unknown",NA,"8.0333333 S 142.9500000 E",NA,"chromosome",NA
"NZ_CP009164.1","SAMN02951655","Burkholderia pseudomallei A79A",NA,"A79A",NA,NA,"environmental sample",NA,NA,"Papua New Guinea: record deposited as Australia","unknown",NA,"8.0692000 S 142.8755583 E",NA,"chromosome",NA
"NZ_CP009152.1","SAMN02951657","Burkholderia pseudomallei MSHR3965",NA,"MSHR3965",NA,NA,"environmental sample",NA,NA,"Australia","unknown",NA,"12.7900970 S 132.1780710 E",NA,"chromosome",NA
"NZ_CP009208.1","SAMN02982872","Klebsiella pneumoniae subsp. pneumoniae",NA,"ATCC 43816 KPPR1",NA,NA,"Spontaneous rifampin-resistant isolate from ATCC 43816",NA,NA,"USA","2000-10",NA,NA,2000,"chromosome",NA
"NZ_CP009234.1","SAMN02990927","Burkholderia pseudomallei MSHR62",NA,"MSHR62","Homo sapiens",NA,"clinical isolate",NA,NA,"Australia","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP013024.1","SAMN02991226","Escherichia coli",NA,"2009C-3133","Homo sapiens",NA,"stool",NA,"CDC","USA","2008-03",NA,"Missing",2008,"plasmid",NA
"NZ_CP013025.1","SAMN02991226","Escherichia coli",NA,"2009C-3133","Homo sapiens",NA,"stool",NA,"CDC","USA","2008-03",NA,"Missing",2008,"chromosome",NA
"NZ_CP013027.1","SAMN02991226","Escherichia coli",NA,"2009C-3133","Homo sapiens",NA,"stool",NA,"CDC","USA","2008-03",NA,"Missing",2008,"plasmid",NA
"NZ_CP004056.1","SAMN02999960","Shigella flexneri 2003036",NA,"2003036","Homo sapiens",NA,"feces",NA,"missing","missing","2003",NA,"missing",2003,"chromosome",NA
"NZ_JQGM01000063.1","SAMN03002380","Klebsiella pneumoniae",NA,"182604R","Homo sapiens",NA,"clinical samples",NA,"J. Arends","Netherlands","2012-06-10",NA,"53.13 N 6.33 E",2012,"plasmid",NA
"NZ_CP009269.1","SAMN03004264","Burkholderia pseudomallei MSHR2243",NA,"MSHR2243","Homo sapiens",NA,"clinical isolate",NA,NA,"Australia","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP009272.1","SAMN03008919","Burkholderia pseudomallei MSHR1153",NA,"MSHR1153","Homo sapiens",NA,"clinical isolate",NA,NA,"Australia","unknown",NA,NA,NA,"chromosome",NA
"NZ_CP009297.1","SAMN03010441","Burkholderia pseudomallei 406e",NA,"406E","Homo sapiens",NA,"human",NA,NA,"Thailand","1988",NA,NA,1988,"chromosome",NA
"NZ_CP009550.1","SAMN03023795","Burkholderia pseudomallei PB08298010",NA,"PB08298010",NA,NA,"Human Clinical",NA,NA,"USA: Arizona","2008",NA,NA,2008,"chromosome",NA
"NZ_CP017934.1","SAMN03024573","Klebsiella pneumoniae",NA,"CAV1016","Homo sapiens",NA,"Abdominal Abscess",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2007-08",NA,"38.14 N 78.45 W",2007,"chromosome",NA
"NZ_CP017936.1","SAMN03024573","Klebsiella pneumoniae",NA,"CAV1016","Homo sapiens",NA,"Abdominal Abscess",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2007-08",NA,"38.14 N 78.45 W",2007,"plasmid",NA
"NZ_CP017937.1","SAMN03024573","Klebsiella pneumoniae",NA,"CAV1016","Homo sapiens",NA,"Abdominal Abscess",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2007-08",NA,"38.14 N 78.45 W",2007,"plasmid",NA
"NZ_CP018668.1","SAMN03024576","Klebsiella pneumoniae",NA,"CAV1042","Homo sapiens",NA,"urine",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2008-04",NA,"38.14 N 78.45 W",2008,"plasmid",NA
"NZ_CP018669.1","SAMN03024576","Klebsiella pneumoniae",NA,"CAV1042","Homo sapiens",NA,"urine",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2008-04",NA,"38.14 N 78.45 W",2008,"plasmid",NA
"NZ_CP018671.1","SAMN03024576","Klebsiella pneumoniae",NA,"CAV1042","Homo sapiens",NA,"urine",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2008-04",NA,"38.14 N 78.45 W",2008,"chromosome",NA
"NZ_CP011645.1","SAMN03024583","Klebsiella pneumoniae",NA,"CAV1596","Homo sapiens",NA,"Perirectal",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2012-04",NA,"38.14 N 78.45 W",2012,"plasmid",NA
"NZ_CP011646.1","SAMN03024583","Klebsiella pneumoniae",NA,"CAV1596","Homo sapiens",NA,"Perirectal",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2012-04",NA,"38.14 N 78.45 W",2012,"plasmid",NA
"NZ_CP011647.1","SAMN03024583","Klebsiella pneumoniae",NA,"CAV1596","Homo sapiens",NA,"Perirectal",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2012-04",NA,"38.14 N 78.45 W",2012,"chromosome",NA
"NZ_CP018675.1","SAMN03024585","Klebsiella pneumoniae",NA,"CAV1217","Homo sapiens",NA,"urine",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2010-08",NA,"38.14 N 78.45 W",2010,"plasmid",NA
"NZ_CP018676.1","SAMN03024585","Klebsiella pneumoniae",NA,"CAV1217","Homo sapiens",NA,"urine",NA,"Clinical Microbiology University of Virginia Health System","USA:Virginia","2010-08",NA,"38.14 N 78.45 W",2010,"chromosome",NA
